Designation,JD Link
Executive Assistant,
Process Coordinator,
Driver,
Data Management Executive,https://script.google.com/a/briskolive.com/macros/s/AKfycbxs0LaXk8vtVno0Uj_VblcOWKDY4g-fjvpPGNIU/dev?v=updatedesignform
Mechanical Design Engineer,https://docs.google.com/document/d/1NDPkccJe53c4XefmgDlx-YcnPXXNHa007Y5EkqX-Hh4/edit?usp=sharing
Mechanical Design Intern,https://docs.google.com/document/d/1eqgqu-NdpfM6adoKcZYDr2w-t0Pmq6X2/edit?usp=drive_link&ouid=112694974182275299480&rtpof=true&sd=true
Defence Director,
Head Operations,https://docs.google.com/document/d/1ZDfMwKlzj4BglZtu6djglUXVKrkLEgnZ/edit
Deputy Head,https://docs.google.com/document/d/1bfhHy8ZeX_JxKRQjgVbo-vAksWnTYaiz/edit
Operations Manager,
Deployment Executive,https://docs.google.com/document/d/1bfhHy8ZeX_JxKRQjgVbo-vAksWnTYaiz/edit
Field Executive,https://docs.google.com/document/d/1MbfSatypwMdqXHPdX0EsOljDlvAmMUJn/edit
Operations Executive,
Project Manager,
Assistant Project Manager,
Project Coordinator,https://docs.google.com/document/d/1EHNPvw0AQxU5VBGxabDaBhU91i9wOxpO/edit
Project Engineer,https://docs.google.com/document/d/13VWQxA82gHxQgZK46Egmoq5jX25hBee0/edit
Projects Civil Engineer,https://docs.google.com/document/d/1kFRe-UsrnK18MhbJio1oI2XE3rapzUWC/edit
Junior Engineer,https://docs.google.com/document/d/1-EV55FMOUm1SPAMBDr970c7V0uxqk4pxC579TKxIQ2o/edit
Project Executive,https://docs.google.com/document/d/144z_3KqRe4a27loK7W7VVnrsM4futDxy/edit
Head Temp Staffing,https://docs.google.com/document/d/1FHR5b2z9hsuzBQkCCG49oX5nReW7ciyq/edit
TCS Executive,https://docs.google.com/document/d/1r486dDF1CffduzJ-RtPV9B2fRUl17Uh6/edit
Member Manager,https://docs.google.com/document/d/1HARZ9xKPYpxZMAZEMQCBruVDoZnG8hc_/edit
Members Executive,https://docs.google.com/document/d/1LJHAhkBH6gytYfTBH0a8uGrOOZGqWAO7/edit
Manager Recruitment,
Executive (Recruitment Operations),
Manager HR,https://docs.google.com/document/d/1XInXq8X1Hiw5D3_lDBck1sEDjGNDyFyQ/edit?usp=drive_link&ouid=103345307513075906227&rtpof=true&sd=true
Executive HR,
Manager Admin,
Executive Admin,
Sys Admin,
Office Boy,
Manager Accounts,
Executive Accounts,JD Accounts Executive - Brisk Olive.docx
Digital Marketing Manager,JD Digital Marketing Manager
Corporate Affairs,
Manager Sales,https://docs.google.com/document/d/1vgACgC17oUt7RL5K4JPcljTSBZT-sagO/edit
Executive Sales,https://docs.google.com/document/d/1BCEGqyGGmG0TKc0SVYyo5IxylqfGveK3/edit
Executive Business Intelligence,JD_BI_BO
Sales Coordinator,https://docs.google.com/document/d/1LZxs5sU1GM7ST-Drf-u8DGMjR_LAsLJW/edit
Data Management Executive,https://script.google.com/a/briskolive.com/macros/s/AKfycbxs0LaXk8vtVno0Uj_VblcOWKDY4g-fjvpPGNIU/dev?v=designationform
Production Head,https://docs.google.com/document/d/1tQsBwXSXBQVd-WExW-5z6Zi62iC04wL3rbkql4ixQyY/edit?usp=drive_link
